,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk Level
0,67,male,2,own,NA,little,1169,6,radio/TV,Low Risk
1,22,female,2,own,little,moderate,5951,48,radio/TV,Low Risk
2,49,male,1,own,little,NA,2096,12,education,High Risk
3,45,male,2,free,little,little,7882,42,furniture/equipment,Low Risk
4,53,male,2,free,little,little,4870,24,car,Medium Risk
5,35,male,1,free,NA,NA,9055,36,education,High Risk
6,53,male,2,own,quite rich,NA,2835,24,furniture/equipment,High Risk
7,35,male,3,rent,little,moderate,6948,36,car,Low Risk
8,61,male,1,own,rich,NA,3059,12,radio/TV,High Risk
9,28,male,3,own,little,moderate,5234,30,car,Low Risk
10,25,female,2,rent,little,moderate,1295,12,car,Low Risk
11,24,female,2,rent,little,little,4308,48,business,Low Risk
12,22,female,2,own,little,moderate,1567,12,radio/TV,Low Risk
13,60,male,1,own,little,little,1199,24,car,Low Risk
14,28,female,2,rent,little,little,1403,15,car,Low Risk
15,32,female,1,own,moderate,little,1282,24,radio/TV,Low Risk
16,53,male,2,own,NA,NA,2424,24,radio/TV,High Risk
17,25,male,2,own,NA,little,8072,30,business,High Risk
18,44,female,3,free,little,moderate,12579,24,car,Low Risk
19,31,male,2,own,quite rich,NA,3430,24,radio/TV,High Risk
20,48,male,2,own,little,NA,2134,9,car,High Risk
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,Low Risk
22,48,male,1,rent,little,little,2241,10,car,Low Risk
23,44,male,2,own,moderate,moderate,1804,12,car,Low Risk
24,26,male,2,own,NA,NA,2069,10,furniture/equipment,High Risk
25,36,male,1,own,little,little,1374,6,furniture/equipment,Low Risk
26,39,male,1,own,little,NA,426,6,radio/TV,High Risk
27,42,female,2,rent,rich,rich,409,12,radio/TV,Low Risk
28,34,male,2,own,little,moderate,2415,7,radio/TV,Low Risk
29,63,male,2,own,little,little,6836,60,business,Low Risk
30,36,male,2,own,rich,moderate,1913,18,business,Low Risk
31,27,male,2,own,little,little,4020,24,furniture/equipment,Medium Risk
32,30,male,2,own,moderate,moderate,5866,18,car,Medium Risk
33,57,male,1,rent,NA,NA,1264,12,business,High Risk
34,33,female,3,own,little,rich,1474,12,furniture/equipment,Low Risk
35,25,male,1,own,little,moderate,4746,45,radio/TV,Low Risk
36,31,male,2,free,little,NA,6110,48,education,High Risk
37,37,male,2,own,little,rich,2100,18,radio/TV,Low Risk
38,37,male,2,own,little,rich,1225,10,domestic appliances,Low Risk
39,24,male,2,own,little,moderate,458,9,radio/TV,Low Risk
40,30,male,3,own,quite rich,NA,2333,30,radio/TV,High Risk
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,Low Risk
42,44,male,1,own,little,moderate,6204,18,repairs,Medium Risk
43,24,male,2,rent,moderate,little,6187,30,car,Low Risk
44,58,female,1,free,little,little,6143,48,car,Low Risk
45,35,female,3,own,little,NA,1393,11,car,High Risk
46,39,male,2,own,quite rich,NA,2299,36,radio/TV,High Risk
47,23,female,0,rent,quite rich,little,1352,6,car,Low Risk
48,39,male,1,own,little,NA,7228,11,car,High Risk
49,28,female,2,own,moderate,NA,2073,12,radio/TV,High Risk
50,29,male,1,own,NA,moderate,2333,24,furniture/equipment,Low Risk
51,30,male,3,own,little,moderate,5965,27,car,Low Risk
52,25,male,2,own,little,NA,1262,12,radio/TV,High Risk
53,31,male,2,own,NA,NA,3378,18,car,High Risk
54,57,male,2,free,little,moderate,2225,36,car,Low Risk
55,26,male,1,own,NA,NA,783,6,car,High Risk
56,52,male,3,own,NA,moderate,6468,12,radio/TV,Low Risk
57,31,female,2,own,little,NA,9566,36,radio/TV,High Risk
58,23,female,3,own,little,rich,1961,18,car,Low Risk
